x,y
188.1,86.97
276.0,90.81
198.0,87.64
174.7,83.29
188.6,85.39
226.1,87.69
229.9,88.52
148.4,81.11
302.8,92.70
137.6,81.25
260.3,91.07
186.0,85.16
260.6,92.05
280.9,92.11
170.9,84.72
229.1,89.39
244.0,90.27
174.7,83.89
165.2,83.26
267.3,93.68
252.6,92.34
286.3,92.78
177.0,83.35
202.4,86.40
211.0,87.47
271.6,92.31
348.2,95.31
257.2,90.83
351.9,95.26
208.1,87.23
162.1,82.49
250.1,89.51
195.0,86.59
247.3,90.37
167.7,83.30
251.8,90.96
196.2,85.22
188.5,85.53
241.4,89.72
166.7,83.37
216.4,87.38
158.9,82.52
232.4,89.20
251.9,92.96
327.2,92.17
139.9,80.64
176.4,84.62
214.0,88.58
427.5,91.14
184.3,84.29
176.2,84.15
217.9,88.29
188.5,85.53
359.3,95.48
224.6,88.95
273.8,93.57
145.6,80.72
290.5,90.65
157.4,82.11
262.3,87.90
223.0,89.04
237.3,89.52
210.1,86.57
293.4,93.98
200.0,86.77
176.6,84.66
131.8,79.90
351.0,92.20
188.9,85.27
236.2,88.15
